isco4,exp_mean,exp_sd,mean_minus_sd,gradient,gradient_label
8153,0.15,0.03,0.12,1,Gradient 1: Low
8155,0.15,0.02,0.13,1,Gradient 1: Low
8160,0.15,0.03,0.12,1,Gradient 1: Low
2250,0.14,0.05,0.09000000000000001,1,Gradient 1: Low
3240,0.14,0.02,0.12000000000000001,1,Gradient 1: Low
5164,0.14,0.06,0.08000000000000002,1,Gradient 1: Low
5321,0.14,0.06,0.08000000000000002,1,Gradient 1: Low
5412,0.14,0.03,0.11000000000000001,1,Gradient 1: Low
5413,0.14,0.04,0.1,1,Gradient 1: Low
7111,0.14,0.07,0.07,1,Gradient 1: Low
7125,0.14,0,0.14,1,Gradient 1: Low
7312,0.14,0.02,0.12000000000000001,1,Gradient 1: Low
7317,0.14,0.01,0.13,1,Gradient 1: Low
7516,0.14,0.06,0.08000000000000002,1,Gradient 1: Low
7549,0.14,0.01,0.13,1,Gradient 1: Low
8172,0.14,0.05,0.09000000000000001,1,Gradient 1: Low
8350,0.14,0.02,0.12000000000000001,1,Gradient 1: Low
9111,0.14,0.08,0.06000000000000001,1,Gradient 1: Low
9121,0.14,0.03,0.11000000000000001,1,Gradient 1: Low
9333,0.14,0.03,0.11000000000000001,1,Gradient 1: Low
2659,0.13,0.06,0.07,1,Gradient 1: Low
6310,0.13,0.05,0.08,1,Gradient 1: Low
6320,0.13,0.04,0.09,1,Gradient 1: Low
7115,0.13,0.02,0.11,1,Gradient 1: Low
7121,0.13,0.08,0.05,1,Gradient 1: Low
7124,0.13,0.02,0.11,1,Gradient 1: Low
7131,0.13,0.04,0.09,1,Gradient 1: Low
7211,0.13,0.01,0.12000000000000001,1,Gradient 1: Low
7212,0.13,0.05,0.08,1,Gradient 1: Low
7215,0.13,0.03,0.1,1,Gradient 1: Low
7234,0.13,0.02,0.11,1,Gradient 1: Low
7318,0.13,0.03,0.1,1,Gradient 1: Low
7511,0.13,0.03,0.1,1,Gradient 1: Low
7544,0.13,0.04,0.09,1,Gradient 1: Low
8342,0.13,0.02,0.11,1,Gradient 1: Low
9332,0.13,0.08,0.05,1,Gradient 1: Low
9412,0.13,0.02,0.11,1,Gradient 1: Low
3413,0.12,0.07,0.04999999999999999,1,Gradient 1: Low
6210,0.12,0.05,0.06999999999999999,1,Gradient 1: Low
6330,0.12,0.05,0.06999999999999999,1,Gradient 1: Low
6340,0.12,0.05,0.06999999999999999,1,Gradient 1: Low
7132,0.12,0,0.12,1,Gradient 1: Low
7533,0.12,0.02,0.09999999999999999,1,Gradient 1: Low
7542,0.12,0.05,0.06999999999999999,1,Gradient 1: Low
8341,0.12,0.03,0.09,1,Gradient 1: Low
9112,0.12,0.02,0.09999999999999999,1,Gradient 1: Low
9212,0.12,0.03,0.09,1,Gradient 1: Low
9214,0.12,0.02,0.09999999999999999,1,Gradient 1: Low
9329,0.12,0.02,0.09999999999999999,1,Gradient 1: Low
7113,0.11,0.02,0.09,1,Gradient 1: Low
7123,0.11,0.01,0.1,1,Gradient 1: Low
7214,0.11,0.02,0.09,1,Gradient 1: Low
7535,0.11,0.03,0.08,1,Gradient 1: Low
9123,0.11,0.03,0.08,1,Gradient 1: Low
9213,0.11,0.03,0.08,1,Gradient 1: Low
9216,0.11,0.03,0.08,1,Gradient 1: Low
9311,0.11,0.02,0.09,1,Gradient 1: Low
9622,0.11,0.03,0.08,1,Gradient 1: Low
7114,0.1,0.03,0.07,1,Gradient 1: Low
7122,0.1,0.02,0.08,1,Gradient 1: Low
9129,0.1,0.01,0.09000000000000001,1,Gradient 1: Low
6224,0.09,0.03,0.06,1,Gradient 1: Low
7112,0.09,0.01,0.08,1,Gradient 1: Low
7119,0.09,0.01,0.08,1,Gradient 1: Low
7133,0.09,0.01,0.08,1,Gradient 1: Low
9122,0.09,0.01,0.08,1,Gradient 1: Low
9211,0.09,0.02,0.06999999999999999,1,Gradient 1: Low
9215,0.09,0.02,0.06999999999999999,1,Gradient 1: Low
9312,0.09,0.02,0.06999999999999999,1,Gradient 1: Low
9313,0.09,0.02,0.06999999999999999,1,Gradient 1: Low
9611,0.09,0.02,0.06999999999999999,1,Gradient 1: Low
9613,0.09,0.03,0.06,1,Gradient 1: Low
9624,0.09,0.03,0.06,1,Gradient 1: Low
