country_name,exposure_g4,exposure_g3_g4,isco4_share,isco6_share,year,total_emp
Tuvalu,3.769952198738774,10.871719294923432,10.183299389002036,4.1751527494908345,2022,2.946
Türkiye,2.8808666763422193,7.8047666475368445,7.024333349866987,11.101271985749747,2024,32620.334
Uganda,0.5955619583160908,1.3919925314252195,0.3722247895606889,60.44871334765486,2021,17958.503
United Arab Emirates,2.61956299168651,7.980206380686418,6.028710831310992,1.050894699668096,2024,9224.045
United Kingdom of Great Britain and Northern Ireland,3.725244293810525,12.1834140125994,8.917635377826054,1.0855274527307313,2024,33359.359000000004
United States of America,3.5965016184685306,11.878825543877479,8.315141423502716,0.39533230328723706,2024,161345.53
Uruguay,3.793539564857755,9.781753243363829,9.928272135517844,4.194585741696005,2024,1672.99
Vanuatu,1.465864626662095,4.288403458655428,2.7121535181236673,39.98720682302772,2020,70.35
Viet Nam,1.3783785385210068,3.6064529950353585,2.422483854590506,15.331833819594317,2023,53685.848
Wallis and Futuna,4.473961830492722,11.52927178425359,12.231696559835342,0.9997059688326964,2019,3.401
Zambia,0.8893491414124405,2.3885932612039054,1.0268097042162667,51.70549454645552,2023,6760.649
Zimbabwe,0.8795699290987928,2.5173011014965265,0.9934434355862066,42.52120448019056,2024,4930.326
